name,register_url,platform,dates,ages,price,kind,source_url
Girls Who Code Summer Immersion Program,https://girlswhocode.com/summer-immersion-programs,llm,7-week program,10th-11th-grade girls,,portal,https://childdevelopmentinfo.com/child-activities/summer-camp-guide-for-parents
BEAM Pathway Program for 7th Graders,https://pathwaystoscience.org/programhub.aspx?sort=HSC-ArtProblemSolvingFound-Pathway7grd,llm,"During your first summer with the BEAM Pathway Program, you will get to live in college dorms on a campus outside the city, surr ...read more",7th Grade,,portal,https://pathwaystoscience.org/programs.aspx?adv=adv&c=either&dd=&f=&ft=&p=either&r=&s=&sa=either&submit=y&u=K8Students_K-8+Students
Bridge to Enter Advanced Math-for 7th Graders,https://pathwaystoscience.org/programs.aspx?adv=adv,llm,,7th Grade,,portal,https://pathwaystoscience.org/programs.aspx?adv=adv&c=either&dd=&f=&ft=&p=either&r=&s=&sa=either&submit=y&u=K8Students_K-8+Students
GeoGirls Technology Camp at Mount St. Helens,https://pathwaystoscience.org/programhub.aspx?sort=SUM-MountStHelensInst-GeoCamp,llm,"During the course of the 5-day, 4-night geology and technology field-based camp, girls will tour Mount St. Helens, visit researchers in action, conduct a focused research proj ...read more",grades 6-12,,portal,https://pathwaystoscience.org/programs.aspx?adv=adv&c=either&dd=&f=&ft=&p=either&r=&s=&sa=either&submit=y&u=K8Students_K-8+Students
Summer Engineering Experience for Kids (SEEK),https://pathwaystoscience.org/programhub.aspx?sort=GK12-NSBE-SEEK,llm,"The National Society of Black Engineers (NSBE) created SEEK to address the underrepresentation of African Americans students in STEM fields, to ensure the Black middle class a ...read more",grades 6-12,,portal,https://pathwaystoscience.org/programs.aspx?adv=adv&c=either&dd=&f=&ft=&p=either&r=&s=&sa=either&submit=y&u=K8Students_K-8+Students
Hopkinton Summer Day Camp,https://metrowestymca.org/locations/outdoor-center,llm,,3-16,,portal,https://metrowestymca.org/camp
Y STEAM Summer Program,https://metrowestymca.org/y-steam-camp,llm,,1-6,,portal,https://metrowestymca.org/camp
OCP Summer Program,https://metrowestymca.org/camp-ocp,llm,,1-8,,portal,https://metrowestymca.org/camp
Camp Clearbrook,https://metrowestymca.org/camp-clearbrook,llm,,1-6,,portal,https://metrowestymca.org/camp
Ninja Sports Camp,https://metrowestymca.org/ninja-sports-camp,llm,,1-6,,portal,https://metrowestymca.org/camp
Framingham Branch,https://metrowestymca.org/locations/framingham-branch,llm,,4-preK,,portal,https://metrowestymca.org/camp
Early Learning Center,https://metrowestymca.org/locations/early-learning-center,llm,,4-preK,,portal,https://metrowestymca.org/camp
Hopkinton Summer Day Camp,https://metrowestymca.org/camp,llm,June 22 - August 28 (10 weeks),3-16,,portal,https://metrowestymca.org/camps/hopkinton-summer-day-camp
Ninja Sports Camp,https://metrowestymca.org/programs/sports-activities,llm,Summer day camps for youth starting at age 3 and going up to age 15,Grades 1-6,,portal,https://metrowestymca.org/programs/sports-activities/youth-gymnastics-ninjas
Youth Equipment Fittings,https://metrowestymca.org/programs/youth-teen-leadership,llm,,Ages 10-15,,portal,https://metrowestymca.org/my-account
"Tue, Jul 14, 5:30 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=f5bd3639-4fd7-11f1-99e6-00505692171b,daxko,,,,session,https://mmjccm.org/event/day-camp-the-jcc
"Tue, Jul 14, 7:30 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=0b8c78a5-4fd8-11f1-99e2-0050569286b7,daxko,,,,session,https://mmjccm.org/event/day-camp-the-jcc
