name,register_url,platform,dates,ages,price,kind,source_url
Lexington Youth Sports Camp,https://lexingtonma.org,llm,"['June 17-21', 'June 24-28']","[9, 12]",,portal,https://lexingtonma.gov/511/Recreation-Community-Programs
LexRec Summer Day Camp,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30941,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Leader in Training - Application,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30957,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Swim Lessons - Session 1 (6/22-7/2),https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30969,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Archery Summer Clinics,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30951,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Blue Sox Baseball Camp,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=29959,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Challenger Soccer Camp,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=29960,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Minuteman Sports Clinics,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30942,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
USTA Tennis in the Parks Youth Tennis Lessons,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30937,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Youth Summer Tennis Clinic,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=29974,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Viking Sports Summer Camps,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30955,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Chess - Summer Clinics,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30945,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Dungeons & Dragons Summer Adventures (New & Returning Players),https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30954,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
FC Academy - Summer Filmmaking Clinics,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30949,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Kids Test Kitchen - Summer,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30990,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Right Brain - Summer STEM Clinics,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30948,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Buildwave - Summer Clinic,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30952,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
"Circuit Lab - Robotics, Coding, & STEAM Summer Clinics",https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30946,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Snapology - STEM & Robotics Summer Clinics,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30950,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Golf Clinic,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30040,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Youth Tennis Lessons,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30032,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
SNL Sports Academy Fishing Clinic,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30978,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Youth Track Clinic,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30457,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Viking Pre-K & Kindergarten Soccer,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30030,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Viking Basketball Clinic,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30156,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Lower Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801580&Module=AR,webtrac,06/24/2026 -06/26/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Lower Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801554&Module=AR,webtrac,06/29/2026 -07/02/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Lower Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801372&Module=AR,webtrac,07/06/2026 -07/10/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Lower Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801398&Module=AR,webtrac,07/13/2026 -07/17/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Lower Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801424&Module=AR,webtrac,07/20/2026 -07/24/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Lower Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801450&Module=AR,webtrac,07/27/2026 -07/31/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Lower Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801476&Module=AR,webtrac,08/03/2026 -08/07/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Lower Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801502&Module=AR,webtrac,08/10/2026 -08/14/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Lower Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801528&Module=AR,webtrac,08/17/2026 -08/21/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Lower Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801695&Module=AR,webtrac,08/24/2026 -08/28/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Upper Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50943855&Module=AR,webtrac,06/24/2026 -06/26/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Upper Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50943823&Module=AR,webtrac,06/29/2026 -07/02/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Upper Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50943613&Module=AR,webtrac,07/06/2026 -07/10/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Upper Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50943643&Module=AR,webtrac,07/13/2026 -07/17/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Upper Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50943673&Module=AR,webtrac,07/20/2026 -07/24/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Upper Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50943703&Module=AR,webtrac,07/27/2026 -07/31/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Upper Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50943733&Module=AR,webtrac,08/03/2026 -08/07/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Upper Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50943763&Module=AR,webtrac,08/10/2026 -08/14/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Upper Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50943793&Module=AR,webtrac,08/17/2026 -08/21/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Upper Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50943937&Module=AR,webtrac,08/24/2026 -08/28/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Musical Theater Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=51015318&Module=AR,webtrac,07/20/2026 -07/24/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?Action=Start&SubAction=&_csrf_token=da0X076U0J031V331V312F4K5T435F586Y024P5K5C036I5Z6L4V195R4V4I59096S4V6O571N5T455858725N4S6Q4E1I5N4K6P6G085X4S5Z58025G4I6M566F5V6051&arwebsearch_buttonsearch=yes&beginmonth=&category=Specialty+Camps&display=detail&keyword=&module=AR&multiselectlist_value=&primarycode=&season=&showwithavailable=No
Dance Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=51015478&Module=AR,webtrac,07/27/2026 -07/31/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?Action=Start&SubAction=&_csrf_token=da0X076U0J031V331V312F4K5T435F586Y024P5K5C036I5Z6L4V195R4V4I59096S4V6O571N5T455858725N4S6Q4E1I5N4K6P6G085X4S5Z58025G4I6M566F5V6051&arwebsearch_buttonsearch=yes&beginmonth=&category=Specialty+Camps&display=detail&keyword=&module=AR&multiselectlist_value=&primarycode=&season=&showwithavailable=No
AcroDance Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=51015264&Module=AR,webtrac,08/10/2026 -08/14/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?Action=Start&SubAction=&_csrf_token=da0X076U0J031V331V312F4K5T435F586Y024P5K5C036I5Z6L4V195R4V4I59096S4V6O571N5T455858725N4S6Q4E1I5N4K6P6G085X4S5Z58025G4I6M566F5V6051&arwebsearch_buttonsearch=yes&beginmonth=&category=Specialty+Camps&display=detail&keyword=&module=AR&multiselectlist_value=&primarycode=&season=&showwithavailable=No
AcroDance Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=51015484&Module=AR,webtrac,08/17/2026 -08/21/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?Action=Start&SubAction=&_csrf_token=da0X076U0J031V331V312F4K5T435F586Y024P5K5C036I5Z6L4V195R4V4I59096S4V6O571N5T455858725N4S6Q4E1I5N4K6P6G085X4S5Z58025G4I6M566F5V6051&arwebsearch_buttonsearch=yes&beginmonth=&category=Specialty+Camps&display=detail&keyword=&module=AR&multiselectlist_value=&primarycode=&season=&showwithavailable=No
Cooking Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=51014996&Module=AR,webtrac,06/24/2026 -06/26/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?Action=Start&SubAction=&_csrf_token=da0X076U0J031V331V312F4K5T435F586Y024P5K5C036I5Z6L4V195R4V4I59096S4V6O571N5T455858725N4S6Q4E1I5N4K6P6G085X4S5Z58025G4I6M566F5V6051&arwebsearch_buttonsearch=yes&beginmonth=&category=Specialty+Camps&display=detail&keyword=&module=AR&multiselectlist_value=&primarycode=&season=&showwithavailable=No
Cooking Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=51014969&Module=AR,webtrac,07/06/2026 -07/10/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?Action=Start&SubAction=&_csrf_token=da0X076U0J031V331V312F4K5T435F586Y024P5K5C036I5Z6L4V195R4V4I59096S4V6O571N5T455858725N4S6Q4E1I5N4K6P6G085X4S5Z58025G4I6M566F5V6051&arwebsearch_buttonsearch=yes&beginmonth=&category=Specialty+Camps&display=detail&keyword=&module=AR&multiselectlist_value=&primarycode=&season=&showwithavailable=No
Cooking Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=51014861&Module=AR,webtrac,07/13/2026 -07/17/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?Action=Start&SubAction=&_csrf_token=da0X076U0J031V331V312F4K5T435F586Y024P5K5C036I5Z6L4V195R4V4I59096S4V6O571N5T455858725N4S6Q4E1I5N4K6P6G085X4S5Z58025G4I6M566F5V6051&arwebsearch_buttonsearch=yes&beginmonth=&category=Specialty+Camps&display=detail&keyword=&module=AR&multiselectlist_value=&primarycode=&season=&showwithavailable=No
Cooking Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=51014942&Module=AR,webtrac,08/03/2026 -08/07/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?Action=Start&SubAction=&_csrf_token=da0X076U0J031V331V312F4K5T435F586Y024P5K5C036I5Z6L4V195R4V4I59096S4V6O571N5T455858725N4S6Q4E1I5N4K6P6G085X4S5Z58025G4I6M566F5V6051&arwebsearch_buttonsearch=yes&beginmonth=&category=Specialty+Camps&display=detail&keyword=&module=AR&multiselectlist_value=&primarycode=&season=&showwithavailable=No
Cooking Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=51015111&Module=AR,webtrac,08/10/2026 -08/14/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?Action=Start&SubAction=&_csrf_token=da0X076U0J031V331V312F4K5T435F586Y024P5K5C036I5Z6L4V195R4V4I59096S4V6O571N5T455858725N4S6Q4E1I5N4K6P6G085X4S5Z58025G4I6M566F5V6051&arwebsearch_buttonsearch=yes&beginmonth=&category=Specialty+Camps&display=detail&keyword=&module=AR&multiselectlist_value=&primarycode=&season=&showwithavailable=No
Art Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=51013777&Module=AR,webtrac,06/29/2026 -07/02/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?Action=Start&SubAction=&_csrf_token=da0X076U0J031V331V312F4K5T435F586Y024P5K5C036I5Z6L4V195R4V4I59096S4V6O571N5T455858725N4S6Q4E1I5N4K6P6G085X4S5Z58025G4I6M566F5V6051&arwebsearch_buttonsearch=yes&beginmonth=&category=Specialty+Camps&display=detail&keyword=&module=AR&multiselectlist_value=&primarycode=&season=&showwithavailable=No
Art Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=51013539&Module=AR,webtrac,07/06/2026 -07/10/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?Action=Start&SubAction=&_csrf_token=da0X076U0J031V331V312F4K5T435F586Y024P5K5C036I5Z6L4V195R4V4I59096S4V6O571N5T455858725N4S6Q4E1I5N4K6P6G085X4S5Z58025G4I6M566F5V6051&arwebsearch_buttonsearch=yes&beginmonth=&category=Specialty+Camps&display=detail&keyword=&module=AR&multiselectlist_value=&primarycode=&season=&showwithavailable=No
Art Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=51013566&Module=AR,webtrac,07/13/2026 -07/17/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?Action=Start&SubAction=&_csrf_token=da0X076U0J031V331V312F4K5T435F586Y024P5K5C036I5Z6L4V195R4V4I59096S4V6O571N5T455858725N4S6Q4E1I5N4K6P6G085X4S5Z58025G4I6M566F5V6051&arwebsearch_buttonsearch=yes&beginmonth=&category=Specialty+Camps&display=detail&keyword=&module=AR&multiselectlist_value=&primarycode=&season=&showwithavailable=No
Art Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=51013649&Module=AR,webtrac,08/03/2026 -08/07/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?Action=Start&SubAction=&_csrf_token=da0X076U0J031V331V312F4K5T435F586Y024P5K5C036I5Z6L4V195R4V4I59096S4V6O571N5T455858725N4S6Q4E1I5N4K6P6G085X4S5Z58025G4I6M566F5V6051&arwebsearch_buttonsearch=yes&beginmonth=&category=Specialty+Camps&display=detail&keyword=&module=AR&multiselectlist_value=&primarycode=&season=&showwithavailable=No
