name,register_url,info_url,platform,dates,ages,price,kind,source_url
Education Care Camp,,https://metrowestymca.org/programs/education-care-camp,navigator,,,,portal,https://metrowestymca.org/programs/education-care-camp
Child Watch,,https://metrowestymca.org/programs/education-care-camp/child-watch,navigator,,,,portal,https://metrowestymca.org/programs/education-care-camp/child-watch
Y Feeds Kids,,https://metrowestymca.org/programs/food-and-nutrition/y-feeds-kids,navigator,,,,portal,https://metrowestymca.org/programs/food-and-nutrition/y-feeds-kids
Skip to main content,https://ymcametrowest.sgasoftware.com/Sales/Product?Age=-1&BeginTime=&BranchID=110&CheckEligibility=True&CurrentFamilyID=0&DL=10&DS=0&DT=GroupedList&EndTime=&Gender=B&IncludeWaitList=True&MemberID=0&ProductID=&ProductTypeID=600&StartDateFrom=&StartDateTo=&UnitID=,https://metrowestymca.org/camp-clearbrook,navigator,June 22,age-,,session,https://metrowestymca.org/camp-clearbrook
Skip to main content,https://ymcametrowest.sgasoftware.com/Sales/Product?Age=-1&BeginTime=&BranchID=310&CheckEligibility=True&CurrentFamilyID=0&DL=10&DS=0&DT=GroupedList&EndTime=&Gender=B&IncludeWaitList=True&MemberID=0&ProductID=&ProductTypeID=600&StartDateFrom=&StartDateTo=&UnitID=,https://metrowestymca.org/camp-ocp,navigator,June 22,age-,,session,https://metrowestymca.org/camp-ocp
"Tue, Jul 14, 5:30 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=f5bd3639-4fd7-11f1-99e6-00505692171b,https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=f5bd3639-4fd7-11f1-99e6-00505692171b,daxko,,,,session,https://mmjccm.org/event/day-camp-the-jcc
"Tue, Jul 14, 7:30 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=0b8c78a5-4fd8-11f1-99e2-0050569286b7,https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=0b8c78a5-4fd8-11f1-99e2-0050569286b7,daxko,,,,session,https://mmjccm.org/event/day-camp-the-jcc
"Wed, Jul 15, 5:30 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=37cdde45-4fd8-11f1-99e2-0050569286b7,https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=37cdde45-4fd8-11f1-99e2-0050569286b7,daxko,,,,session,https://mmjccm.org/event/day-camp-the-jcc
"Wed, Jul 15, 7:30 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=7f02f17f-4fd8-11f1-99e4-005056921697,https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=7f02f17f-4fd8-11f1-99e4-005056921697,daxko,,,,session,https://mmjccm.org/event/day-camp-the-jcc
"Thu, Jul 16, 5:30 pm",https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=5246ddc0-4fd8-11f1-99e9-00505692a808,https://operations.daxko.com/online/5384/ProgramsV2/Events.mvc/offering?guid=5246ddc0-4fd8-11f1-99e9-00505692a808,daxko,,,,session,https://mmjccm.org/event/day-camp-the-jcc
