name,register_url,info_url,platform,dates,ages,price,kind,source_url
Lexrec Summer Day Camp   Daily Schedule,,https://lexingtonma.gov/DocumentCenter/View/16412/LexRec-Summer-Day-Camp---Daily-Schedule,navigator,,,,portal,https://lexingtonma.gov/DocumentCenter/View/16412/LexRec-Summer-Day-Camp---Daily-Schedule
LexRec Summer Day Camp,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30941,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30941,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Leader in Training - Application,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30957,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30957,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Swim Lessons - Session 1 (6/22-7/2),https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30969,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30969,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Archery Summer Clinics,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30951,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30951,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Blue Sox Baseball Camp,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=29959,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=29959,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Challenger Soccer Camp,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=29960,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=29960,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Minuteman Sports Clinics,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30942,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30942,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
USTA Tennis in the Parks Youth Tennis Lessons,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30937,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30937,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Youth Summer Tennis Clinic,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=29974,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=29974,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Viking Sports Summer Camps,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30955,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30955,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Chess - Summer Clinics,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30945,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30945,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Dungeons & Dragons Summer Adventures (New & Returning Players),https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30954,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30954,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
FC Academy - Summer Filmmaking Clinics,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30949,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30949,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Kids Test Kitchen - Summer,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30990,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30990,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Right Brain - Summer STEM Clinics,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30948,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30948,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Buildwave - Summer Clinic,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30952,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30952,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
"Circuit Lab - Robotics, Coding, & STEAM Summer Clinics",https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30946,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30946,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Snapology - STEM & Robotics Summer Clinics,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30950,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30950,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Golf Clinic,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30040,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30040,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Youth Tennis Lessons,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30032,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30032,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
SNL Sports Academy Fishing Clinic,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30978,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30978,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Youth Track Clinic,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30457,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30457,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Viking Pre-K & Kindergarten Soccer,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30030,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30030,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Viking Basketball Clinic,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30156,https://lexrecma.myrec.com/info/activities/program_details.aspx?ProgramID=30156,myrec,,,,session,https://lexrecma.myrec.com/info/activities/activities.aspx
Lower Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801580&Module=AR,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801580&Module=AR,webtrac,06/24/2026 -06/26/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Lower Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801554&Module=AR,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801554&Module=AR,webtrac,06/29/2026 -07/02/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Lower Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801372&Module=AR,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801372&Module=AR,webtrac,07/06/2026 -07/10/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Lower Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801398&Module=AR,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801398&Module=AR,webtrac,07/13/2026 -07/17/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
Lower Camp,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801424&Module=AR,https://majwhaydenweb.myvscloud.com/webtrac/web/iteminfo.html?FMID=50801424&Module=AR,webtrac,07/20/2026 -07/24/2026,,,session,https://majwhaydenweb.myvscloud.com/webtrac/web/search.html?module=AR&type=CAMP
